# 60x60.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2025.12.28
# S1=107970
# S2=259092010
# S3=699451254000
# S4=2014139779199998

1596,861,2933,368,3572,2605,3262,2504,3122,1350,650,1462,800,1771,3341,3050,771,1410,149,3076,1698,87,915,1666,2524,1180,1528,3381,1265,1237,2362,2334,218,2071,2419,1075,1933,2684,3512,1901,523,3450,2189,2828,549,258,1828,2799,2137,2949,2249,477,1095,337,994,27,3231,666,2738,2003,
2754,484,1288,596,3540,293,978,1999,651,1494,2896,3239,2211,478,1976,2651,1106,2044,2349,3391,2559,1344,1774,810,126,3261,3538,1881,2872,2448,1151,727,1718,61,338,3473,2789,1825,2255,1040,208,1250,1555,2493,948,1623,3121,1388,360,703,2105,2948,1600,2621,3306,59,3003,2311,3115,845,
2921,2954,3194,3427,2867,2629,1853,1606,72,1244,1461,3159,1630,1105,1070,3407,2078,1414,1899,540,825,247,2449,864,3240,2253,536,2292,3565,934,2665,34,1307,3063,1346,359,2735,1150,3352,2774,3059,1700,2185,1521,192,2529,2494,1969,440,2138,2355,3527,1993,1746,970,732,172,405,645,678,
731,2712,614,1412,1835,42,139,349,1626,394,1539,454,514,937,2142,1236,1275,2482,222,1998,3532,2544,801,599,672,1917,2246,2637,256,2410,1189,3343,962,1353,1682,2927,3000,2798,1055,67,1601,3377,1117,2324,2363,1457,2662,3085,3145,2060,3205,1973,3250,3460,3557,1764,2187,2985,887,2868,
1778,2639,185,3071,1205,1631,1568,1295,3312,1498,1165,609,53,2051,1392,340,384,2823,3451,1377,2745,814,62,1047,1882,670,2640,3031,1111,463,3136,2488,568,959,2929,1717,2552,3537,2785,854,2222,148,776,3215,3259,2207,1548,3546,2990,2434,2101,287,2304,2031,1968,2394,528,3414,960,1821,
2926,1633,980,3458,762,2147,3539,2952,2407,1408,504,237,1984,3338,398,2247,1780,54,438,1286,938,2747,2041,1037,1687,3277,2389,2762,2483,558,3041,1116,837,1210,322,1912,2562,1558,852,2661,2313,3161,3545,1819,1352,3201,261,1615,3362,3095,2191,1192,647,60,1452,2837,141,2619,1966,673,
209,1653,3493,1438,3111,2386,321,1802,1505,2009,2495,274,2421,584,1012,2236,617,772,2690,2158,3464,3135,1712,1056,35,870,811,363,1289,697,2902,2310,3236,2788,2729,3564,2543,1887,464,135,1441,909,2827,2982,1363,2587,3015,1178,3325,1104,1590,2094,1797,3278,1213,488,2161,106,1946,3390,
3438,1810,898,2290,1126,267,1681,1148,445,2549,728,941,808,1956,1433,3290,603,1243,3017,110,963,1562,411,2911,12,521,1362,2152,201,1520,2079,3398,1447,2237,3078,3587,688,3188,2037,2636,3489,582,2356,2996,309,2166,1643,2791,2658,2871,1050,3154,2451,1918,3332,2473,1309,2701,1789,161,
11,399,662,1657,1871,3120,1327,1163,1516,931,1257,3445,1284,1761,723,2169,3490,275,2464,3014,186,538,2541,1578,2777,2989,964,1446,869,317,3282,2730,2153,2635,610,822,2021,1058,3061,3413,585,1135,3324,109,1430,2876,1838,2315,154,2342,2668,2083,2436,2272,479,1728,1942,2937,3200,3588,
2716,1932,2008,2960,2542,19,2689,1161,2861,3147,92,134,2919,2595,2344,1121,1752,2195,1739,3001,1271,234,263,3229,3103,1486,1508,2814,3242,2273,1326,357,785,2091,2113,496,370,3336,3365,2328,598,1860,1404,1847,2478,1255,1004,680,3465,3507,452,738,2438,910,3580,1057,639,1591,1667,883,
2485,65,3389,1153,625,1490,3344,1290,2860,804,2550,3433,3155,3069,2925,355,3573,1598,1699,1812,2382,2667,3192,1957,1396,2609,570,2072,2228,868,2731,1371,1527,3029,990,2203,1642,407,932,1217,1787,1900,2001,26,3244,674,530,444,166,1049,2795,739,2309,255,2109,2974,2446,210,3534,1114,
