# 48x48.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2026.01.24
# S1=70278
# S2=126664382
# S3=256827858768
# S4=555467267610554

1176,169,17,932,1767,1064,1964,2075,1869,1970,1581,1716,808,1016,1595,1801,2022,850,899,961,71,658,1873,106,2197,430,1645,2232,1342,1404,1453,281,502,708,1287,1495,587,722,333,434,228,339,1239,536,1371,2286,2134,1127,
556,1942,594,493,1445,411,894,1510,2032,322,1126,1292,2229,220,1316,2297,1868,1629,167,1094,131,923,1568,671,1632,735,1380,2172,1209,2136,674,435,6,987,2083,74,1011,1177,1981,271,793,1409,1892,858,1810,1709,361,1747,
667,557,930,1078,1317,1837,1415,1915,1171,2180,2047,781,1726,1277,1482,152,2082,717,1971,2213,2288,1787,336,1551,752,1967,516,15,90,332,1586,221,2151,821,1026,577,1522,256,123,1132,388,888,466,986,1225,1373,1746,1636,
1480,1022,1812,586,2294,2069,2202,1874,1142,979,1590,2133,1658,273,1542,922,1236,796,1929,2218,896,307,1866,535,1768,437,1996,1407,85,374,1507,1067,1381,761,2030,645,170,713,1324,1161,429,101,234,9,1717,491,1281,823,
477,2251,593,1594,991,2080,2272,2040,857,1523,1266,887,929,178,2186,1116,651,408,376,2004,1823,1759,1059,732,1571,1244,544,480,299,1927,1895,1652,1187,117,2125,1374,1416,1037,780,1446,263,31,223,1312,709,1710,52,1826,
1302,1742,1087,1253,371,849,751,912,122,637,2289,310,895,1879,210,1820,678,1129,171,616,432,72,779,278,2025,1524,2231,1871,1687,2132,1174,1625,483,2093,424,1408,1993,14,1666,2181,1391,1552,1454,1932,1050,1216,561,1001,
1386,847,638,345,601,1339,2063,1153,1782,419,2001,2268,1249,728,1508,2143,2078,1749,902,1592,1224,2183,2233,1840,463,70,120,1079,711,1401,554,225,160,795,1575,1054,35,302,1884,521,1150,240,964,1702,1958,1665,1456,917,
10,880,1987,1326,1744,1104,1673,948,168,773,1464,1265,695,2036,1206,133,505,1536,81,1883,439,1953,2101,1694,609,202,350,1864,420,2222,767,1798,2170,1097,267,1608,1038,839,1530,2135,1355,630,1199,559,977,316,1423,2293,
159,1356,1051,684,452,2265,657,1109,290,1085,373,1337,1882,786,522,226,1447,1703,2182,537,1420,1569,2245,254,2049,58,734,883,1766,121,600,856,2077,1781,1517,421,966,1930,1218,2013,1194,1646,38,1851,1619,1252,947,2144,
1807,1843,314,222,359,2279,279,153,1406,2189,1589,848,742,1159,1336,2230,578,1376,1899,551,669,1213,1529,1015,1288,774,1090,1634,1752,404,927,1725,73,967,1144,1561,1455,714,114,897,2150,2024,24,1944,2081,1989,460,496,
204,99,1238,1639,1269,1845,264,1514,189,1718,1466,1419,403,1195,1754,700,2002,1796,934,1931,1560,2221,2281,1311,992,22,82,743,372,1369,507,301,1603,549,1108,1900,884,837,585,2114,789,2039,458,1034,664,1065,2204,2099,
