# 39x39.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.16
# S1=29640
# S2=30045080
# S3=34262654400

88,1441,1317,882,622,1048,652,1215,499,146,257,237,465,901,153,145,669,288,847,1501,809,1429,846,1309,1,747,329,806,1044,1002,174,946,327,1495,659,1113,871,1376,984,
273,335,231,699,1136,728,132,584,1295,239,440,992,1187,1401,921,1035,685,1318,751,808,1503,155,1362,1123,491,1069,1514,1006,1162,1000,1005,385,4,455,255,297,1189,357,118,
428,762,1322,1399,860,1066,492,106,1385,372,1224,457,97,1361,907,533,293,1380,1448,578,125,690,642,941,200,1086,1036,880,316,32,487,1287,58,729,972,586,513,1333,1257,
943,676,763,117,1151,657,801,1050,46,839,308,838,1422,168,1211,1093,1520,268,962,1012,1515,1383,477,973,788,493,69,43,244,605,1389,236,1325,647,1125,1161,509,319,494,
87,242,1182,1025,582,1469,1046,568,596,680,1500,10,386,124,939,1019,1068,344,381,922,1360,967,602,365,1377,850,836,1209,1184,226,149,1436,1111,1391,437,614,765,53,538,
1479,40,1108,529,1142,176,632,312,828,1060,1096,1180,1014,1279,1285,1273,505,761,858,326,916,183,544,272,370,1387,683,698,77,1270,279,696,1054,109,1417,772,201,1473,356,
500,770,1106,468,580,446,300,1041,115,1091,101,1349,517,706,1384,896,912,512,1181,298,997,1274,1082,18,1461,227,229,404,1103,843,366,44,1491,964,318,1430,1373,857,886,
848,902,99,709,1386,777,1122,594,1513,890,289,552,361,1453,449,595,292,1225,95,551,127,65,1517,904,1075,1296,1221,348,774,1101,16,641,825,817,1001,89,1464,740,917,
488,1047,219,1410,554,1506,694,1353,981,1167,60,42,209,593,249,779,900,34,527,61,693,323,534,1076,856,686,1049,576,152,1466,731,872,766,1434,654,1100,1078,1475,1246,
1290,283,1140,928,205,94,1234,650,753,410,1130,1280,192,267,181,1199,1037,1098,727,795,315,1196,57,328,563,637,116,573,1439,1418,859,175,1481,531,841,849,823,1053,1493,
