# 29x29.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.15
# S1=12180
# S2=6824860
# S3=4302219600

17,334,297,658,94,239,147,550,14,456,266,741,430,800,243,492,271,523,318,696,124,577,684,181,193,592,715,768,760,
332,50,554,772,726,530,416,578,92,611,498,285,350,697,351,625,369,206,528,322,53,413,153,20,817,131,708,162,831,
58,773,112,190,761,764,733,526,241,502,171,419,475,600,242,178,164,397,673,602,26,284,293,549,690,75,762,296,624,
626,559,750,119,685,71,140,607,135,829,398,621,329,15,191,742,718,665,552,149,445,158,325,717,527,411,235,253,208,
819,228,172,192,137,447,548,184,660,368,628,89,30,176,645,735,580,695,39,636,331,688,786,681,517,230,340,209,390,
796,564,493,545,495,138,797,714,374,118,744,713,641,128,169,644,60,210,24,245,542,698,261,213,620,335,188,514,197,
487,282,815,496,391,440,207,818,372,675,5,221,93,339,439,638,667,19,771,806,366,689,33,519,507,378,379,225,103,
404,320,778,524,250,407,157,211,557,827,74,2,84,217,512,203,546,743,596,738,362,674,785,651,532,358,106,467,95,
704,226,565,470,417,465,87,789,223,646,3,731,130,573,405,249,265,839,83,300,380,824,117,499,459,657,41,444,589,
336,812,101,177,727,798,525,431,4,227,412,346,408,302,6,279,168,476,269,534,394,642,603,349,833,736,679,18,588,
222,81,452,64,784,767,531,385,585,529,257,562,813,327,794,12,116,402,486,639,48,434,403,232,699,134,418,740,264,
359,781,414,832,802,680,383,0,10,553,510,301,382,594,775,200,110,551,360,770,45,236,464,473,205,88,560,387,355,
120,567,148,91,686,49,521,179,719,303,566,488,363,666,701,77,63,307,185,788,568,469,606,187,343,361,803,805,451,
324,129,570,170,503,82,694,541,277,415,268,732,586,386,729,774,654,29,305,218,463,32,86,779,677,793,224,256,484,
755,258,357,399,581,593,133,725,304,804,809,231,57,448,420,392,783,609,31,36,536,115,707,247,259,441,483,582,85,
356,584,616,47,163,61,754,808,377,622,535,811,186,66,111,454,254,108,572,425,563,299,146,758,337,670,270,711,516,
389,35,37,479,497,653,234,371,272,52,655,533,777,763,139,174,477,352,274,537,121,661,319,791,154,749,692,273,720,
485,453,280,752,635,367,376,604,795,70,480,289,730,640,65,246,458,539,330,287,830,840,457,160,38,8,426,59,481,
576,100,422,706,141,608,437,406,792,201,354,438,724,828,46,513,27,278,583,311,255,455,309,73,56,776,388,759,618,
252,822,161,104,7,491,237,198,446,306,571,364,672,561,834,538,432,494,428,613,836,409,315,42,113,663,739,28,504,
251,396,799,183,381,341,723,16,460,540,757,1,575,591,435,267,710,109,837,194,617,51,753,375,423,370,275,614,136,
745,373,734,482,308,189,55,166,478,102,244,97,294,637,328,623,756,838,766,13,283,629,683,433,590,316,62,520,436,
737,615,461,462,333,321,807,151,474,34,69,821,173,202,401,501,747,619,835,165,468,22,633,400,449,344,25,558,353,
643,326,652,505,220,627,579,142,298,595,816,630,780,196,671,712,199,127,96,722,466,126,43,702,345,295,347,276,44,
450,631,500,610,323,159,54,152,509,204,801,145,260,105,195,664,810,751,212,472,180,656,292,393,703,648,668,612,21,
632,587,605,429,313,123,515,682,395,691,288,175,122,98,649,825,511,219,442,11,705,233,700,769,155,721,90,281,214,
216,544,78,765,150,291,547,556,814,238,167,443,676,662,598,240,365,421,669,338,599,314,107,76,79,650,728,67,782,
9,678,132,709,23,820,687,427,787,518,312,634,471,215,489,143,490,555,342,229,748,262,424,310,114,68,286,790,508,
80,72,125,248,647,659,156,263,716,144,522,317,569,348,597,40,410,99,574,384,826,290,693,601,746,182,543,506,823,
