# 35x35.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.15
# S1=21420
# S2=17485860
# S3=16058574000

28,913,989,401,637,396,1152,950,521,664,405,1117,449,237,973,37,1043,9,711,89,436,1218,770,375,367,304,798,326,226,338,917,795,679,1100,1050,
715,35,1068,1200,173,1128,852,125,1022,728,937,680,102,776,484,296,358,747,404,1053,1164,225,733,1124,332,123,800,552,522,963,731,320,50,342,556,
784,525,136,692,62,482,203,313,572,230,926,968,645,18,450,380,1216,1020,49,319,839,542,676,696,586,627,1125,54,1169,1192,1078,661,978,874,333,
503,172,184,145,1149,729,916,461,167,761,585,1127,957,1036,992,201,853,817,1155,489,642,453,924,1212,420,1012,444,507,790,42,81,260,758,413,63,
807,768,840,1076,187,610,302,356,974,604,1193,464,86,238,1106,633,38,753,1198,636,1024,109,689,411,873,625,108,1006,769,410,306,1199,412,606,4,
1109,1072,430,1054,559,194,210,119,789,41,1173,634,705,476,80,909,359,594,423,673,87,91,1211,415,1060,982,826,1061,497,608,567,153,824,952,483,
74,328,603,1075,577,390,243,607,369,46,253,1096,458,934,867,975,131,885,767,1214,269,969,1026,221,744,271,95,318,1142,527,890,268,980,907,901,
214,562,1019,541,600,1168,1160,266,1064,175,1104,23,738,765,176,301,44,275,778,1130,976,803,169,1042,166,276,708,732,685,864,1013,546,330,344,663,
1063,0,1025,554,132,593,1027,1126,288,1195,751,862,786,113,514,1084,626,129,512,180,566,520,110,996,327,297,526,524,312,730,943,1004,1148,144,713,
575,550,393,33,1038,112,325,3,162,322,555,1085,919,481,1087,352,469,651,787,632,734,165,601,810,640,1172,1210,723,921,47,196,1147,1134,825,564,
431,1123,1102,216,245,659,951,263,829,962,329,1167,583,832,324,523,650,92,688,20,985,1119,830,85,1083,576,888,227,1151,340,381,19,487,756,504,
946,643,354,382,942,781,684,191,217,1067,1190,353,2,881,1140,366,117,341,283,945,1131,68,611,1047,462,622,1070,724,929,508,265,1011,409,677,61,
133,1188,1,479,818,78,1153,1113,944,935,17,506,361,1082,750,960,1197,687,876,475,418,707,121,671,1039,796,432,833,397,370,316,387,695,270,215,
58,1157,530,558,233,628,416,1056,534,848,135,557,549,403,984,1066,1065,83,223,965,293,779,5,605,502,822,518,257,1171,1181,869,1031,79,838,422,
209,1029,1094,472,938,915,378,797,893,1208,347,241,805,488,499,887,1097,45,292,134,878,799,114,294,773,88,465,569,143,910,1034,485,178,1203,719,
285,856,126,635,1018,30,615,1176,1154,433,147,859,1217,236,850,571,383,389,441,1041,754,845,224,693,1184,970,151,533,629,15,903,538,568,104,847,
150,478,816,993,977,1045,1118,65,59,208,1035,192,335,252,543,439,578,1005,467,363,22,345,1185,995,364,966,940,498,515,925,291,1017,777,1002,460,
1086,570,388,947,1108,644,875,1069,1158,714,452,373,914,1121,11,990,442,612,782,234,1213,103,310,851,772,510,66,155,349,580,116,277,836,654,138,
764,222,447,207,933,299,709,726,284,258,860,229,39,879,1202,861,757,219,646,785,681,972,889,1032,189,1016,1165,1159,106,179,247,231,408,746,1074,
377,1120,656,686,321,1209,595,691,1073,254,40,531,1000,379,470,183,783,835,841,653,374,988,7,365,1077,791,70,48,609,1194,206,589,1098,368,939,
505,21,1046,739,190,314,1081,655,759,1136,451,930,1110,425,346,1090,932,1179,127,337,725,736,419,983,877,16,331,427,846,309,286,752,130,195,1015,
802,386,1145,193,355,43,53,967,706,402,722,619,1219,445,931,259,1001,1141,159,158,240,821,675,667,1089,376,690,168,808,596,991,666,694,67,1166,
1009,954,529,837,908,854,827,391,792,428,185,553,1103,517,806,749,348,537,27,264,474,142,863,718,1207,289,280,111,71,1146,406,745,1223,36,1091,
1163,547,815,213,959,716,295,500,154,602,762,177,613,1156,93,279,941,883,1107,858,84,343,1222,871,34,157,1007,1033,540,443,282,842,870,581,278,
720,468,737,1205,843,884,73,997,336,648,141,1139,394,105,239,1204,536,1132,574,701,900,392,641,57,895,262,395,961,273,565,979,1008,122,101,793,
660,399,90,77,1028,1177,303,501,14,52,584,414,623,1059,490,592,437,573,755,872,137,743,305,139,669,902,1062,1221,899,1112,186,1191,831,674,649,
511,1080,76,220,281,494,912,700,698,927,897,228,1114,704,658,1044,712,1095,598,140,710,1111,438,362,473,29,936,98,197,631,1092,670,199,1224,161,
561,880,894,678,211,360,539,492,516,948,1058,182,1055,421,248,94,446,949,1180,923,1048,459,486,1201,120,1049,160,958,64,56,624,683,205,662,1010,
323,317,244,956,334,697,82,906,1129,953,480,1003,198,255,955,10,457,339,1093,249,357,290,766,128,971,1178,855,617,981,834,647,149,621,896,1150,
741,272,400,1071,657,616,727,163,398,242,164,809,13,1133,1137,551,801,630,865,315,1144,748,519,590,51,1183,435,1105,1014,1030,665,170,794,152,115,
1220,618,812,25,918,814,455,218,1116,599,351,813,535,1115,200,588,26,471,1186,591,118,986,1138,760,31,620,250,868,922,614,1037,148,384,456,417,
1161,811,466,964,1143,1182,434,717,780,212,804,12,300,771,582,735,69,407,371,1023,232,188,267,97,639,463,1057,763,308,495,75,1079,1040,1052,721,
891,350,246,563,146,32,55,1170,99,597,638,528,548,682,385,905,1175,204,8,844,774,1206,579,256,298,994,652,911,1021,742,1162,532,1088,699,440,
668,882,1174,904,493,261,702,672,424,1101,892,100,491,999,60,171,820,477,866,928,740,448,1122,544,287,496,202,1099,372,96,1051,24,156,1189,509,
174,124,545,429,307,886,998,898,426,920,857,849,454,6,788,1135,513,1215,181,1187,251,987,775,107,819,560,703,274,72,828,587,823,235,311,1196,
