# 20x20.Trimagic Square
# Generated by Toshihiro Shirakawa in 2026.03.02
# S1=3990
# S2=1062670
# S3=318402000

4,174,312,21,153,374,271,287,265,216,183,134,112,128,25,246,378,87,225,395,
335,16,204,342,349,279,200,283,54,264,135,345,116,199,120,50,57,195,383,64,
158,301,71,207,368,222,10,38,317,193,206,82,361,389,177,31,192,328,98,241,
306,295,327,83,231,330,399,142,325,278,121,74,257,0,69,168,316,72,104,93,
63,364,236,141,90,144,29,60,76,263,136,323,339,370,255,309,258,163,35,336,
166,237,7,305,239,101,362,32,85,138,261,314,367,37,298,160,94,392,162,233,
398,221,186,394,320,188,124,187,382,159,240,17,212,275,211,79,5,213,178,1,
379,92,217,40,53,80,133,189,348,161,238,51,210,266,319,346,359,182,307,20,
280,56,334,252,288,293,95,337,197,2,397,202,62,304,106,111,147,65,343,119,
292,47,77,96,49,137,354,347,146,227,172,253,52,45,262,350,303,322,352,107,
205,43,384,272,102,73,294,373,201,129,270,198,26,105,326,297,127,15,356,194,
115,185,66,318,243,6,235,259,61,375,24,338,140,164,393,156,81,333,214,284,
89,386,75,274,311,86,344,155,248,321,78,151,244,55,313,88,125,324,13,310,
302,218,229,109,145,366,34,108,28,67,332,371,291,365,33,254,290,170,181,97,
132,103,228,363,123,242,179,358,353,12,387,46,41,220,157,276,36,171,296,267,
232,360,372,175,42,285,269,8,150,190,209,249,391,130,114,357,224,27,39,167,
9,234,191,23,388,143,230,176,44,184,215,355,223,169,256,11,376,208,165,390,
113,91,59,126,282,377,139,148,299,385,14,100,251,260,22,117,273,340,308,286,
281,226,84,300,196,19,219,351,289,396,3,110,48,180,380,203,99,315,173,118,
131,341,331,149,18,245,70,152,122,30,369,277,247,329,154,381,250,68,58,268,
