# 33x33.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.15
# S1=17952
# S2=13027168
# S3=10635052032

1,790,1003,405,646,196,817,1037,76,852,152,781,574,1088,598,192,533,607,228,334,1083,733,619,822,367,98,617,120,418,843,175,752,395,
510,7,193,859,365,887,583,17,394,385,1048,873,881,594,297,622,350,357,890,938,626,191,762,676,272,1080,866,78,996,267,562,87,439,
301,282,48,999,102,977,472,829,290,957,579,240,393,1020,54,174,865,863,696,305,45,904,707,327,668,540,792,328,238,515,1033,633,776,
958,1016,969,95,349,97,1056,944,565,756,172,151,615,134,484,452,377,871,740,308,1025,284,734,49,187,678,431,454,697,793,113,640,758,
609,219,644,943,159,595,685,825,728,347,57,1057,1058,602,281,429,423,495,247,909,283,876,11,625,436,691,1063,29,34,620,587,1026,359,
927,529,567,699,716,189,450,976,378,74,889,446,894,675,335,970,2,1065,1018,20,268,415,470,73,608,232,200,639,1006,589,275,851,507,
982,512,537,815,1062,406,214,907,445,878,430,868,114,508,36,1046,33,99,197,839,854,375,592,840,83,539,337,736,227,666,369,419,987,
182,882,560,127,541,724,373,265,1041,635,489,764,233,274,681,386,708,414,664,53,1011,912,344,935,75,610,826,1023,379,1067,672,58,44,
278,824,276,280,451,833,864,180,319,404,13,15,879,759,972,256,631,390,160,779,93,169,1078,458,960,491,971,459,799,656,467,1000,788,
921,577,108,653,922,46,981,476,211,331,257,186,934,358,725,746,930,125,920,519,571,667,388,1017,588,195,254,142,1028,465,81,836,794,
80,185,786,204,401,356,872,796,858,178,409,763,662,690,124,835,1038,951,279,277,660,714,785,202,603,41,923,315,532,967,1072,221,173,
1049,849,985,148,437,575,558,717,261,156,766,411,306,601,1069,28,722,38,789,149,956,554,425,568,370,641,66,802,477,456,845,94,1084,
748,1024,1070,784,979,79,973,384,497,61,706,339,475,368,550,917,314,735,671,343,561,90,138,992,27,830,126,557,654,183,926,387,464,
438,323,518,838,104,213,492,482,828,627,941,818,316,503,777,440,819,133,898,1019,170,110,188,143,1051,1066,853,775,293,3,320,767,686,
803,689,396,59,433,146,226,177,770,771,288,545,847,747,524,35,680,584,351,1082,750,140,91,572,1032,427,925,244,1004,155,566,1036,857,
947,600,203,441,846,506,14,310,953,1064,924,136,205,100,931,536,1079,291,129,726,628,801,383,376,755,870,361,546,208,43,842,645,553,
474,688,586,483,1021,966,525,251,12,743,139,86,742,123,983,498,544,590,105,965,346,1002,949,345,1076,837,563,122,67,605,502,400,614,
535,443,246,1045,880,542,727,218,333,712,705,287,460,362,959,797,9,552,157,988,883,952,164,24,135,778,1074,582,242,647,885,488,141,
231,52,522,933,84,844,163,661,56,516,997,948,338,6,737,504,408,1053,564,341,241,543,800,317,318,911,862,942,655,1029,692,399,285,
402,321,768,1085,795,313,235,22,37,945,900,978,918,69,190,955,269,648,311,585,772,270,147,461,260,606,596,875,984,250,570,765,650,
624,701,162,905,434,531,962,258,1061,96,950,998,527,745,417,353,774,171,538,720,613,749,382,1027,591,704,115,1009,109,304,18,64,340,
4,994,243,632,611,286,1022,447,718,520,663,534,132,939,299,1050,366,1060,19,487,782,677,322,932,827,371,530,513,651,940,103,239,39,
915,867,16,121,556,773,165,1047,485,886,303,374,428,811,809,137,50,253,964,398,426,325,679,910,230,292,216,732,687,884,302,903,1008,
294,252,1007,623,60,946,834,893,500,71,700,421,517,569,168,963,158,342,363,730,154,902,831,757,877,612,107,1042,166,435,980,511,167,
300,88,621,432,289,629,117,597,128,630,10,919,995,309,928,698,457,832,116,329,209,1073,1075,684,769,908,224,255,637,808,812,264,810,
1044,1030,416,21,709,65,262,478,1013,153,744,176,77,1035,424,674,380,702,407,814,855,324,599,453,47,823,715,364,547,961,528,206,906,
101,669,719,422,861,352,751,549,1005,248,496,713,234,249,891,989,1055,42,1052,580,974,220,658,210,643,181,874,682,26,273,551,576,106,
581,237,813,499,82,449,888,856,480,1015,618,673,820,1068,70,23,1086,118,753,413,194,642,199,1014,710,112,638,899,372,389,521,559,161,
729,62,501,468,1054,1059,25,397,652,463,1077,212,805,179,841,593,665,659,807,486,30,31,1031,741,360,263,403,493,929,145,444,869,479,
330,448,975,295,391,634,657,410,901,1039,354,804,63,780,348,217,711,636,604,954,473,937,916,332,523,144,32,991,739,993,119,72,130,
312,455,55,573,850,760,296,548,420,761,381,184,1043,783,392,225,223,914,1034,68,695,848,509,131,798,259,616,111,986,89,1040,806,787,
649,1001,526,821,92,1010,222,8,816,412,326,897,462,150,198,731,738,466,791,494,207,215,40,703,694,1071,505,201,723,229,895,1081,578,
693,336,913,245,670,968,471,990,721,266,469,355,5,754,860,481,555,896,490,0,514,307,936,236,1012,51,271,892,442,683,85,298,1087,
