# 43x43.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.17
# S1=39732
# S2=48963068
# S3=67881168432

748,1677,810,205,947,1428,1259,876,1077,932,32,169,1018,209,625,697,1197,1549,1338,1355,1709,889,5,1564,505,1065,1707,490,661,163,1817,411,1770,237,1345,526,1108,201,594,1297,514,1765,1241,
1260,1775,1055,814,860,1538,1492,1396,894,837,110,612,1113,423,1658,1599,1819,973,865,1533,311,823,468,1255,1802,724,1156,1441,971,228,903,77,95,360,129,802,1062,1264,1812,324,92,180,827,
1651,1004,1790,1399,1239,1005,1721,1432,1641,565,1307,192,351,89,969,1015,504,1539,273,1394,137,63,252,561,928,1675,1699,1159,0,886,537,1664,637,1009,866,193,1703,653,938,984,749,714,645,
1653,86,1193,539,271,1340,534,559,84,1646,1095,285,1621,580,1145,996,260,262,819,1569,1724,1027,281,161,617,1713,1403,1509,1237,874,459,47,806,719,1667,1000,362,890,1815,931,1137,1517,1299,
963,282,125,318,570,1614,687,253,1022,888,1163,585,1267,560,214,1224,69,1357,600,730,658,144,1490,1229,1447,1330,955,422,1695,1294,1797,512,1228,91,113,1318,899,1750,1828,952,1729,787,1573,
1669,1149,674,1023,522,1826,671,333,1500,111,912,485,1467,558,547,26,1173,1795,701,377,1116,332,1030,1446,870,1545,238,1657,834,52,1302,738,1452,1382,569,1742,239,1445,908,102,1463,405,1346,
1840,272,223,1412,1295,150,966,419,1374,1276,604,1201,1146,1847,1102,484,927,613,550,1597,987,7,1130,481,1245,1060,779,1191,1838,1631,1366,1312,1570,999,397,330,372,296,12,109,777,1747,798,
1440,1416,116,1824,1181,1233,1127,210,384,317,591,1506,525,1578,1478,398,136,1623,933,428,1002,1766,1073,590,478,1455,993,943,1016,328,441,1277,1419,1604,1470,1075,1805,313,349,204,930,734,23,
752,726,636,155,1820,1433,665,1624,386,120,1731,676,1632,277,1354,528,1052,1652,1529,495,1303,992,99,1503,642,745,15,690,1751,774,800,1281,3,1494,720,1487,1188,1565,911,1153,750,188,435,
1047,496,1835,1618,320,1361,41,794,1481,731,1253,781,1626,957,418,231,627,61,1791,1558,529,85,573,269,446,641,1269,38,1213,288,1308,1342,784,679,1495,770,1619,1453,766,1769,751,1347,1271,
638,1456,995,1284,479,519,1325,186,55,250,666,1568,1635,486,258,1220,811,1093,1718,1044,1607,986,652,198,872,586,182,1798,72,650,1028,1266,1710,1006,1448,1505,907,200,165,1616,1788,698,1106,
1222,1063,1438,736,375,684,1423,40,1375,1395,630,1056,596,212,1740,878,166,336,1384,143,2,944,255,1743,1831,543,544,1167,387,1411,1274,1722,440,456,1477,1741,1555,1148,337,1393,764,847,859,
56,1434,744,1107,338,1459,1780,733,965,1475,1154,1581,985,131,621,1630,1272,1208,1671,513,662,706,359,1273,817,1386,524,350,664,991,25,563,922,30,75,964,1814,1580,542,1606,286,925,1811,
1341,898,670,1360,1761,413,1584,789,643,1789,9,1686,1076,606,552,4,778,829,316,1165,476,953,831,1521,1036,1157,1066,1068,1247,556,1585,347,761,142,174,151,1768,1436,1633,515,88,1194,1758,
100,608,913,1409,776,727,713,1339,1316,64,246,1628,103,1215,448,693,516,1327,1804,434,1225,566,1404,307,49,1008,233,1444,1832,383,845,417,977,1270,1800,1398,1033,287,1214,1696,1701,1350,914,
1427,854,477,680,1089,208,835,1472,1415,1086,1772,472,183,1493,1217,1138,1246,1468,475,426,62,199,1192,533,240,795,743,1557,707,1690,1249,946,961,1720,1356,312,257,557,1834,176,1726,1383,104,
1032,374,892,94,728,1540,1401,520,1387,1251,1592,1351,489,438,1123,1613,1752,729,1534,1716,1109,211,1479,245,1139,1645,326,133,797,335,659,803,115,605,850,499,1171,1457,11,443,813,1827,1504,
632,451,1589,194,1542,555,880,1337,294,1544,757,1556,1131,1180,298,1829,178,160,1250,442,118,712,1143,1049,1681,869,1583,763,156,329,568,1418,1111,1485,1176,334,185,1527,1449,881,364,1202,1830,
