# 44x44.Trimagic Square
# Generated by Toshihiro Shirakawa in 2026.03.03
# S1=42570
# S2=54929490
# S3=79737015600

1496,35,383,789,1438,731,1885,1594,983,1856,850,988,440,937,621,221,1632,1299,301,5,859,1346,589,1076,1930,1634,636,303,1714,1314,998,1495,947,1085,79,952,341,50,1204,497,1146,1552,1900,439,
208,1785,244,705,1154,549,1689,1780,1203,1712,542,1151,220,1182,1242,1507,544,505,414,1606,690,153,1782,1245,329,1521,1430,1391,428,693,753,1715,784,1393,223,732,155,246,1386,781,1230,1691,150,1727,
680,1542,1725,1692,1710,1615,1388,433,1518,1445,1569,1480,1628,1581,373,743,757,286,1190,1368,369,1659,276,1566,567,745,1649,1178,1192,1562,354,307,455,366,490,417,1502,547,320,225,243,210,393,1255,
1648,864,1901,1772,1013,918,969,1130,963,1833,932,251,953,672,133,1910,70,662,1744,990,1601,875,1060,334,945,191,1273,1865,25,1802,1263,982,1684,1003,102,972,805,966,1017,922,163,34,1071,287,
1028,901,889,586,1019,104,1387,1170,1866,809,1838,57,1226,121,1468,685,1385,783,1817,1549,31,1229,706,1904,386,118,1152,550,1250,467,1814,709,1878,97,1126,69,765,548,1831,916,1349,1046,1034,907,
1473,894,1408,1410,1477,1872,363,1771,536,603,190,650,1821,168,844,1246,491,199,1499,375,657,1283,652,1278,1560,436,1736,1444,689,1091,1767,114,1285,1745,1332,1399,164,1572,63,458,525,527,1041,462,
1687,1294,1524,704,1061,580,291,184,1184,76,614,1149,16,1128,33,1535,285,508,1500,289,694,841,1094,1241,1646,435,1427,1650,400,1902,807,1919,786,1321,1859,751,1751,1644,1355,874,1231,411,641,248,
632,1520,229,1623,255,1679,543,1538,422,1377,319,522,277,1608,754,1069,1268,1828,700,521,226,438,1497,1709,1414,1235,107,667,866,1181,327,1658,1413,1616,558,1513,397,1392,256,1680,312,1706,415,1303,
552,778,1475,1467,403,171,1578,274,254,1357,1635,740,1719,152,1044,935,1378,1671,626,132,384,599,1336,1551,1803,1309,264,557,1000,891,1783,216,1195,300,578,1681,1661,357,1764,1532,468,460,1157,1383,
189,347,1199,1173,1209,631,1758,245,900,1858,1133,848,537,847,1694,1808,1851,1371,331,1698,746,1479,456,1189,237,1604,564,84,127,241,1088,1398,1087,802,77,1035,1690,177,1304,726,762,736,1588,1746,
1733,815,409,1200,290,1326,1716,1726,1129,124,1262,826,1570,1098,501,1489,515,529,1590,141,716,1931,4,1219,1794,345,1406,1420,446,1434,837,365,1109,673,1811,806,209,219,609,1645,735,1526,1120,202,
1412,1361,1530,1510,1543,1738,444,294,507,1400,1666,965,234,1707,664,877,1307,280,646,1906,297,565,1370,1638,29,1289,1655,628,1058,1271,228,1701,970,269,535,1428,1641,1491,197,392,425,405,574,523,
340,804,1626,38,1177,492,1137,633,1348,1683,470,1778,561,205,165,296,1297,1485,1257,839,56,787,1148,1879,1096,678,450,638,1639,1770,1730,1374,157,1465,252,587,1302,798,1443,758,1897,309,1131,1595,
262,1609,308,692,1308,514,1651,531,669,129,1395,782,1584,1201,1734,332,142,480,1362,1643,1248,1621,314,687,292,573,1455,1793,1603,201,734,351,1153,540,1806,1266,1404,284,1421,627,1243,1627,326,1673,
1320,1331,261,381,304,239,457,1575,1619,1319,315,1459,270,258,606,623,656,1754,619,1447,1614,1449,486,321,488,1316,181,1279,1312,1329,1677,1665,476,1620,616,316,360,1478,1696,1631,1554,1674,604,615,
346,1127,1898,55,852,1191,923,688,1293,23,1084,1824,1359,684,1893,232,1305,1460,1053,909,1867,1223,712,68,1026,882,475,630,1703,42,1251,576,111,851,1912,642,1247,1012,744,1083,1880,37,808,1589,
1873,677,737,768,1291,682,1813,15,915,65,819,865,1474,892,1629,1668,272,1330,1580,1789,1113,1550,385,822,146,355,605,1663,267,306,1043,461,1070,1116,1870,1020,1920,122,1253,644,1167,1198,1258,62,
854,350,961,1700,1848,390,1259,1364,156,379,421,413,1505,562,1654,1506,1114,1844,833,1239,489,1776,159,1446,696,1102,91,821,429,281,1373,430,1522,1514,1556,1779,571,676,1545,87,235,974,1585,1081,
1509,831,611,793,472,1846,342,1815,651,971,9,1311,1797,161,1018,1136,49,960,233,427,1075,681,1254,860,1508,1702,975,1886,799,917,1774,138,624,1926,964,1284,120,1593,89,1463,1142,1324,1104,426,
412,855,601,618,1325,1847,1637,1798,1411,698,268,1397,1799,116,1139,861,569,1599,92,449,1456,1118,817,479,1486,1843,336,1366,1074,796,1819,136,538,1667,1237,524,137,298,88,610,1317,1334,1080,1523,
