# 45x45.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.17
# S1=45540
# S2=61463820
# S3=93325122000

513,1236,426,1355,1978,1903,516,1018,266,795,1112,36,244,1585,988,91,995,318,108,692,471,286,1646,1019,1031,1580,1461,772,2023,1067,1943,348,596,1513,1731,1752,1870,1004,1192,1139,991,1129,1101,6,1694,
1832,1491,150,676,878,1775,718,726,1208,1496,603,367,1701,1434,456,1594,268,403,948,1204,956,1717,1823,1226,1047,351,184,412,1885,1713,340,1821,927,699,1835,140,271,1688,14,670,459,1202,1073,1456,1703,
663,1516,112,299,786,1224,1613,47,1523,1419,1626,49,526,253,254,929,688,925,1839,907,465,1891,1865,1631,862,1088,29,2019,387,1284,785,1278,1207,509,792,757,2024,690,1692,1082,265,1447,1597,1715,981,
1829,1280,74,1746,1303,1016,1564,175,1092,933,1443,1151,468,1119,637,2012,857,377,137,1941,910,1201,239,536,143,849,1131,1778,617,1399,1923,422,151,2022,967,1382,1223,1827,831,1194,1257,414,1517,15,438,
1552,1416,1784,1702,70,680,1179,742,751,1913,703,750,557,712,900,1341,80,331,1002,2021,1722,1459,1972,1385,1351,1213,391,1222,828,32,1174,39,514,1301,775,1603,1107,285,736,1871,176,198,650,1390,1960,
580,1577,889,177,1494,343,1389,949,1971,1652,934,58,1442,1187,241,196,1255,2005,545,1814,1054,711,966,1551,1904,1671,808,142,1271,1110,40,360,1136,882,1851,2006,496,202,1040,1402,814,1168,1471,341,445,
1640,1032,2017,1411,1993,1495,505,880,1212,1317,1837,1534,84,1959,972,100,681,1094,260,797,174,1357,1890,1833,745,636,777,237,399,1292,34,611,54,1051,651,1453,481,1437,1345,404,497,1497,1001,1123,1741,
671,1098,1877,2011,1198,366,567,1786,761,725,1414,1902,928,574,522,1400,236,1545,250,105,1102,1730,385,1476,109,1025,1700,1464,305,394,1293,1632,1861,1322,11,234,1727,1234,347,685,844,660,1115,1779,1170,
1320,369,35,552,1879,165,1127,1866,232,1614,1328,728,1327,592,1477,344,866,969,1670,30,1987,356,1401,1436,641,1376,466,346,532,724,915,1396,1470,994,1152,1530,275,1105,252,1897,1841,1927,395,941,1695,
1392,401,867,215,1132,402,1767,1818,431,787,99,799,1150,1305,1659,1806,1999,229,1435,1275,376,1490,1015,1878,290,423,1159,1945,279,839,204,1141,1458,1549,85,989,1065,998,1308,1718,1906,645,1231,262,319,
2007,1583,735,863,546,1294,66,1666,1481,124,583,1627,525,179,224,455,26,1500,462,741,1781,961,1039,591,1403,1842,558,492,1591,1669,152,1761,1422,1501,1699,931,976,1535,1557,662,449,1069,781,1967,464,
1000,1536,1143,335,1050,1956,1711,612,1190,1469,1567,953,1584,75,666,1183,859,661,1281,1852,691,1961,1066,891,684,23,1918,408,894,1763,964,82,1081,94,1520,42,687,162,963,362,640,570,1726,1714,1951,
2014,541,1319,1911,1045,653,1935,593,765,1687,1505,950,281,371,1651,940,1326,1934,493,227,334,1367,1546,76,1377,938,1663,1398,1380,517,738,1857,1641,1155,1233,1573,284,701,188,103,61,1335,774,300,860,
1310,364,1962,1674,1037,1176,98,1269,1868,819,520,1542,180,1522,1138,1768,1113,561,409,267,1539,1452,1514,898,157,796,564,918,1309,386,315,1200,597,136,333,420,1661,1793,1801,1755,1475,782,171,2000,971,
1017,1524,1509,1473,852,221,614,454,291,200,1869,1261,1791,1272,1907,289,205,1178,924,1125,659,1953,734,1728,69,853,1013,304,643,627,542,327,2004,1077,33,1810,1315,1707,646,264,1493,1547,1429,1529,1258,
748,1287,1794,1533,576,1710,550,242,1609,148,4,1465,425,960,1197,1817,813,710,474,965,1438,1449,1079,1910,1946,538,616,1318,1807,194,864,1359,868,301,855,506,181,86,1811,858,1928,1645,251,1199,1506,
1789,1628,1405,1606,980,539,1173,1937,1922,615,1220,631,906,416,247,1592,429,1618,1892,225,1182,1330,1914,169,700,1391,1611,779,453,783,1329,116,28,1813,1140,370,1285,990,458,1838,952,48,1070,733,288,
1404,316,443,609,1905,1617,1712,629,537,668,1240,41,1386,92,8,424,1574,131,1311,349,1195,1554,794,1440,326,810,2008,1262,996,1277,2015,1802,833,1103,1636,727,544,913,1439,359,1863,1744,754,1430,320,
107,1729,1206,352,1445,1426,50,1375,935,498,1295,717,1635,1525,875,1346,1831,1696,1825,1266,446,374,259,1062,1880,1886,908,847,123,160,806,220,768,51,573,916,879,708,760,722,1854,1875,1860,1634,835,
452,562,1538,759,303,937,1920,130,664,776,655,1737,1896,606,861,630,896,1541,1667,1181,1368,1590,1268,1624,436,219,38,1619,1120,1331,226,1078,166,43,1656,1732,1899,803,1769,1041,382,419,1895,1425,682,
476,1406,1188,1010,674,258,1080,1489,654,1643,248,1423,67,1049,600,56,2002,1747,821,1153,282,276,339,1796,1219,93,686,540,1417,809,838,840,1253,1555,1883,1812,95,428,1808,887,1952,1021,1349,1898,1420,
461,1965,417,1561,997,512,1446,27,442,1686,487,870,1751,1589,569,780,1576,968,1544,807,60,1372,1716,1816,1038,375,1254,1587,1251,920,1347,720,789,168,778,190,1969,876,1540,88,1682,521,135,890,2003,
