# 41x41.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.16
# S1=34440
# S2=38584280
# S3=48630657600

1495,891,329,633,415,1032,688,1389,552,43,1657,868,3,1352,504,470,1396,1670,1017,1409,759,1137,108,443,1379,464,1081,1147,666,1074,1241,1481,1366,726,75,1463,238,517,221,719,322,
596,1279,14,146,826,1651,636,1077,1532,722,1355,1644,389,1062,1012,336,94,129,699,1289,609,1382,1175,634,736,190,838,1671,1171,1375,294,288,1230,574,558,74,899,492,1443,1322,997,
396,747,674,1678,211,1460,880,58,370,877,1080,1001,1674,375,1269,429,1139,1371,1064,1354,550,846,1219,1091,246,1640,347,1054,1020,1208,1341,296,1568,1146,15,272,224,673,367,1060,150,
485,1225,282,1228,830,773,637,1250,1536,553,57,78,873,1440,1400,1315,388,363,482,1628,960,92,1211,1635,692,1604,1362,861,710,449,1247,1376,1124,85,1294,226,338,782,207,484,878,
547,577,1184,1524,1520,102,320,700,8,844,483,1173,198,445,879,876,607,928,1638,1055,1079,717,405,195,1089,774,739,219,1462,1304,235,1306,1325,159,113,1552,1361,967,743,1439,1649,
545,1136,180,287,1223,643,368,845,414,741,171,744,1517,797,1095,1056,69,1288,1013,86,1603,1110,1204,1475,1068,1641,1329,327,345,731,302,527,1338,709,1610,780,1446,867,22,269,1519,
1513,1296,1256,258,260,344,1544,151,559,1470,1414,1164,1618,1125,1331,1131,825,1191,97,991,30,286,380,1224,404,364,1646,495,511,1238,640,1011,502,1385,1242,256,255,701,926,972,434,
1082,652,1034,1209,1346,1039,1134,1550,1005,659,1075,1052,107,580,79,1508,828,366,447,1652,657,1140,481,346,702,1000,111,1636,204,197,1397,1554,816,116,1399,378,448,1549,733,96,1076,
548,1437,915,191,1183,261,110,610,1261,1504,1625,1065,1003,649,764,1642,274,1465,423,847,337,1117,778,53,123,56,772,267,1177,1612,1348,1015,435,745,1383,1404,1098,422,431,1340,750,
1010,1254,623,538,871,1308,642,874,493,952,810,532,886,964,137,881,47,467,60,602,973,48,1547,734,1560,454,1528,1180,341,1349,968,253,89,1653,1656,554,1412,154,1144,1415,1477,
1566,587,1496,125,1390,857,88,888,645,1614,1240,1505,706,1523,395,865,333,693,356,894,1150,901,398,427,932,1239,468,1263,1478,214,18,635,460,486,892,1274,1350,1518,7,1264,300,
969,181,84,147,942,1405,512,793,1471,820,1029,63,537,16,619,362,230,557,913,1328,465,1488,1539,1301,193,1022,187,918,950,1660,551,1616,698,1221,1553,621,996,753,1582,1097,1051,
1161,1259,1218,1099,408,1111,1115,1559,1293,529,1307,1506,661,385,359,242,622,1455,595,5,758,354,73,1426,691,1359,317,1498,522,117,1104,95,1410,882,400,377,498,1486,863,1631,690,
1377,33,795,735,1474,93,751,597,1152,1203,746,1094,524,158,839,1157,1049,183,1590,278,343,222,791,521,50,1514,1113,1283,654,763,1545,232,1367,999,564,1581,770,897,257,1492,1654,
