# 28x28.Trimagic Square
# Generated by Toshihiro Shirakawa in 2026.03.02
# S1=10962
# S2=5725818
# S3=3364632432

1,328,777,742,626,463,341,440,551,37,387,428,124,401,382,659,355,396,746,232,343,442,320,157,41,6,455,782,
649,21,508,370,643,420,384,738,443,423,193,44,646,97,686,137,739,590,360,340,45,399,363,140,413,275,762,134,
752,377,23,115,516,65,358,367,415,751,518,388,711,337,446,72,395,265,32,368,416,425,718,267,668,760,406,31,
93,271,670,98,714,726,527,372,637,468,573,339,87,248,535,696,444,210,315,146,411,256,57,69,685,113,512,690,
610,502,624,664,205,680,653,543,128,175,74,280,631,211,572,152,503,709,608,655,240,130,103,578,119,159,281,173,
285,66,208,378,168,213,330,12,465,571,154,719,548,724,59,235,64,629,212,318,771,453,570,615,405,575,717,498,
713,329,15,720,586,118,252,386,279,698,254,434,707,426,357,76,349,529,85,504,397,531,665,197,63,768,454,70,
427,780,391,127,131,379,245,263,284,376,227,17,132,14,769,651,766,556,407,499,520,538,404,652,656,392,3,356,
291,143,287,539,142,286,20,712,316,230,699,679,547,647,136,236,104,84,553,467,71,763,497,641,244,496,640,492,
482,125,483,290,191,313,412,702,750,322,0,697,242,663,120,541,86,783,461,33,81,371,470,592,493,300,658,301,
167,257,89,321,162,744,11,278,743,338,352,195,348,613,170,435,588,431,445,40,505,772,39,621,462,694,526,616,
481,562,758,545,722,75,776,303,642,200,441,394,250,204,579,533,389,342,583,141,480,7,708,61,238,25,221,302,
209,617,554,95,161,565,68,635,676,139,447,176,558,614,169,225,607,336,644,107,148,715,218,622,688,229,166,574,
606,589,226,178,628,594,73,110,270,585,689,620,625,576,207,158,163,94,198,513,673,710,189,155,605,557,194,177,
294,662,298,351,309,293,781,618,5,429,530,105,660,108,675,123,678,253,354,778,165,2,490,474,432,485,121,489,
456,122,283,599,692,506,509,667,52,255,666,669,174,634,149,609,114,117,528,731,116,274,277,91,184,500,661,327,
331,18,385,171,347,181,448,183,247,417,756,16,487,749,34,296,767,27,366,536,600,335,602,436,612,398,765,452,
51,312,106,46,188,56,477,469,501,8,350,304,199,246,537,584,479,433,775,282,314,306,727,595,737,677,471,732,
759,346,779,308,345,735,369,449,365,13,361,459,28,523,260,755,324,422,770,418,334,414,48,438,475,4,437,24,
172,733,362,598,381,424,403,736,289,748,262,741,515,80,703,268,42,521,35,494,47,380,359,402,185,421,50,611,
182,186,196,353,693,231,38,83,10,332,457,325,153,591,192,630,458,326,451,773,700,745,552,90,430,587,597,601,
716,510,323,519,30,638,203,299,654,683,36,233,311,220,563,472,550,747,100,129,484,580,145,753,264,460,273,67,
524,619,410,555,544,408,704,19,774,593,216,650,569,603,180,214,133,567,190,9,764,79,375,239,228,373,164,259,
466,725,473,53,511,439,269,657,305,102,581,705,138,96,687,645,78,202,681,478,126,514,344,272,730,310,58,317,
546,633,542,201,151,561,723,82,219,534,682,144,206,623,160,577,639,101,249,564,701,60,222,632,582,241,150,237,
476,217,604,636,596,92,674,156,54,288,49,234,491,215,568,292,549,734,495,729,627,109,691,187,147,179,566,307,
111,522,559,706,55,695,540,319,488,486,757,517,135,223,560,648,266,26,297,295,464,243,88,728,77,224,261,672,
112,390,29,684,525,62,374,364,400,761,251,450,740,276,507,43,333,532,22,383,419,409,721,258,99,754,393,671,
